State 602: {0: np.float64(5.20945336562895), 1: np.float64(4.954196310386875), 2: np.float64(4.700439718141092), 3: np.float64(4.954196310386875)}
State 603: {0: np.float64(5.357552004618084), 1: np.float64(5.169925001442312), 2: np.float64(5.0), 3: np.float64(5.169925001442312)}
State 700: {0: np.float64(4.700439718141092), 1: np.float64(0.0), 2: np.float64(0.0), 3: np.float64(0.0)}
State 701: {0: np.float64(4.954196310386875), 1: np.float64(4.584962500721156), 2: np.float64(4.700439718141092), 3: np.float64(4.700439718141092)}
State 702: {0: np.float64(5.169925001442312), 1: np.float64(4.857980995127572), 2: np.float64(4.700439718141092), 3: np.float64(5.0)}
State 703: {0: np.float64(4.954196310386875), 1: np.float64(5.044394119358453), 2: np.float64(4.954196310386875), 3: np.float64(5.20945336562895)}
State 800: {0: np.float64(4.584962500721156), 1: np.float64(0.0), 2: np.float64(0.0), 3: np.float64(0.0)}
State 801: {0: np.float64(4.857980995127572), 1: np.float64(4.459431618637297), 2: np.float64(4.584962500721156), 3: np.float64(4.700439718141092)}
State 802: {0: np.float64(5.044394119358453), 1: np.float64(4.700439718141092), 2: np.float64(4.584962500721156), 3: np.float64(4.954196310386875)}
State 803: {0: np.float64(4.857980995127572), 1: np.float64(4.906890595608519), 2: np.float64(4.857980995127572), 3: np.float64(5.169925001442312)}
State 900: {0: np.float64(4.459431618637297), 1: np.float64(0.0), 2: np.float64(0.0), 3: np.float64(0.0)}
State 901: {0: np.float64(4.700439718141092), 1: np.float64(4.247927513443585), 2: np.float64(4.459431618637297), 3: np.float64(4.584962500721156)}
State 902: {0: np.float64(4.906890595608519), 1: np.float64(4.523561956057013), 2: np.float64(4.459431618637297), 3: np.float64(4.857980995127572)}
State 903: {0: np.float64(5.044394119358453), 1: np.float64(4.247927513443585), 2: np.float64(4.459431618637297), 3: np.float64(4.584962500721156)}
State 1000: {0: np.float64(4.247927513443585), 1: np.float64(0.0), 2: np.float64(0.0), 3: np.float64(0.0)}
State 1001: {0: np.float64(4.523561956057013), 1: np.float64(4.0), 2: np.float64(4.247927513443585), 3: np.float64(4.459431618637297)}
State 1002: {0: np.float64(4.700439718141092), 1: np.float64(4.247927513443585), 2: np.float64(4.247927513443585), 3: np.float64(4.700439718141092)}
State 1003: {0: np.float64(4.523561956057013), 1: np.float64(4.459431618637297), 2: np.float64(4.247927513443585), 3: np.float64(4.459431618637297)}
State 1100: {0: np.float64(4.0), 1: np.float64(0.0), 2: np.float64(0.0), 3: np.float64(0.0)}
State 1101: {0: np.float64(4.247927513443585), 1: np.float64(4.0), 2: np.float64(4.0), 3: np.float64(4.247927513443585)}
State 1102: {0: np.float64(4.459431618637297), 1: np.float64(4.247927513443585), 2: np.float64(4.0), 3: np.float64(4.523561956057013)}
State 1103: {0: np.float64(4.584962500721156), 1: np.float64(4.0), 2: np.float64(4.247927513443585), 3: np.float64(4.247927513443585)}
State 1200: {0: np.float64(0.0), 1: np.float64(0.0), 2: np.float64(0.0), 3: np.float64(0.0)}
State 1201: {0: np.float64(0.0), 1: np.float64(0.0), 2: np.float64(0.0), 3: np.float64(4.0)}
State 1202: {0: np.float64(0.0), 1: np.float64(0.0), 2: np.float64(0.0), 3: np.float64(4.247927513443585)}
State 1203: {0: np.float64(0.0), 1: np.float64(0.0), 2: np.float64(0.0), 3: np.float64(4.459431618637297)}
State 4: {0: np.float64(0.0), 1: np.float64(4.584962500721156), 2: np.float64(0.0), 3: np.float64(0.0)}
State 104: {0: np.float64(4.700439718141092), 1: np.float64(4.857980995127572), 2: np.float64(4.459431618637297), 3: np.float64(4.584962500721156)}
State 204: {0: np.float64(4.954196310386875), 1: np.float64(5.044394119358453), 2: np.float64(4.700439718141092), 3: np.float64(4.584962500721156)}
State 304: {0: np.float64(5.169925001442312), 1: np.float64(5.20945336562895), 2: np.float64(4.906890595608519), 3: np.float64(4.857980995127572)}
State 404: {0: np.float64(5.321928094887363), 1: np.float64(5.321928094887363), 2: np.float64(5.044394119358453), 3: np.float64(5.044394119358453)}
State 504: {0: np.float64(5.426264754702098), 1: np.float64(5.357552004618084), 2: np.float64(5.169925001442312), 3: np.float64(5.20945336562895)}
