State 105: {0: 4.700439718141092, 1: 4.954196310386875, 2: 4.584962500721156, 3: 4.700439718141092}
State 205: {0: 5.0, 1: 5.169925001442312, 2: 4.857980995127572, 3: 4.700439718141092}
State 305: {0: 5.20945336562895, 1: 5.321928094887363, 2: 5.044394119358453, 3: 4.954196310386875}
State 405: {0: 5.357552004618084, 1: 5.426264754702098, 2: 5.20945336562895, 3: 5.169925001442312}
State 505: {0: 5.321928094887363, 1: 5.459431618637297, 2: 5.321928094887363, 3: 5.321928094887363}
State 605: {0: 5.491853096329675, 1: 5.426264754702098, 2: 5.357552004618084, 3: 5.169925001442312}
State 705: {0: 5.459431618637297, 1: 5.321928094887363, 2: 4.954196310386875, 3: 5.459431618637297}
State 805: {0: 5.357552004618084, 1: 5.169925001442312, 2: 5.20945336562895, 3: 5.169925001442312}
State 905: {0: 5.20945336562895, 1: 4.700439718141092, 2: 5.044394119358453, 3: 5.321928094887363}
State 1005: {0: 5.0, 1: 4.700439718141092, 2: 4.523561956057013, 3: 5.169925001442312}
State 1105: {0: 4.700439718141092, 1: 4.700439718141092, 2: 4.584962500721156, 3: 4.954196310386875}
State 1205: {0: 0.0, 1: 0.0, 2: 0.0, 3: 4.700439718141092}
State 6: {0: 0.0, 1: 4.700439718141092, 2: 0.0, 3: 0.0}
State 106: {0: 4.700439718141092, 1: 5.0, 2: 4.700439718141092, 3: 4.700439718141092}
State 206: {0: 4.954196310386875, 1: 5.20945336562895, 2: 4.954196310386875, 3: 4.700439718141092}
State 306: {0: 5.169925001442312, 1: 5.357552004618084, 2: 5.169925001442312, 3: 5.0}
State 406: {0: 5.321928094887363, 1: 5.321928094887363, 2: 5.321928094887363, 3: 5.20945336562895}
State 506: {0: 5.426264754702098, 1: 5.357552004618084, 2: 5.426264754702098, 3: 5.20945336562895}
State 606: {0: 5.20945336562895, 1: 5.459431618637297, 2: 5.459431618637297, 3: 5.459431618637297}
State 706: {0: 5.426264754702098, 1: 5.357552004618084, 2: 5.426264754702098, 3: 5.357552004618084}
State 806: {0: 5.321928094887363, 1: 5.20945336562895, 2: 5.321928094887363, 3: 5.459431618637297}
State 906: {0: 5.169925001442312, 1: 5.0, 2: 4.906890595608519, 3: 5.357552004618084}
