State 1110: {0: 0, 1: 0, 2: 0, 3: 0}
State 111: {0: 0, 1: 0, 2: 0, 3: 0}
State 211: {0: 0, 1: 0, 2: 0, 3: 0}
State 311: {0: 0, 1: 0, 2: 0, 3: 0}
State 411: {0: 0, 1: 0, 2: 0, 3: 0}
State 511: {0: 0, 1: 0, 2: 0, 3: 0}
State 611: {0: 0, 1: 0, 2: 0, 3: 0}
State 711: {0: 0, 1: 0, 2: 0, 3: 0}
State 811: {0: 0, 1: 0, 2: 0, 3: 0}
State 911: {0: 0, 1: 0, 2: 0, 3: 0}
State 1011: {0: -0.2, 1: 0, 2: 0, 3: 0}
State 1111: {0: 0, 1: 0, 2: 0, 3: 0}
State 112: {0: 0, 1: 0, 2: 0, 3: 0}
State 212: {0: 0, 1: 0, 2: 0, 3: 0}
State 312: {0: 0, 1: 0, 2: 0, 3: 0}
State 412: {0: 0, 1: 0, 2: 0, 3: 0}
State 512: {0: 0, 1: 0, 2: 0, 3: 0}
State 612: {0: 0, 1: 0, 2: 0, 3: 0}
State 712: {0: 0, 1: 0, 2: 0, 3: 0}
State 812: {0: 0, 1: 0, 2: 0, 3: 0}
State 912: {0: -0.36000000000000004, 1: -0.2, 2: 0, 3: 0}
State 1012: {0: 0, 1: 0, 2: -0.2, 3: -0.36000000000000004}
State 1112: {0: 0, 1: 0, 2: 0, 3: 0}
State 113: {0: 0, 1: 0, 2: 0, 3: 0}
State 213: {0: 0, 1: 0, 2: 0, 3: 0}
State 313: {0: 0, 1: 0, 2: 0, 3: 0}
State 413: {0: 0, 1: 0, 2: 0, 3: 0}
State 513: {0: 0, 1: 0, 2: 0, 3: 0}
State 613: {0: 0, 1: 0, 2: 0, 3: 0}
State 713: {0: 0, 1: 0, 2: 0, 3: 0}
State 813: {0: 0, 1: -0.36000000000000004, 2: 0, 3: 0}
State 913: {0: -0.36000000000000004, 1: 0, 2: -0.2, 3: -0.2}
State 1013: {0: 0, 1: 0, 2: -0.2, 3: 0}
State 1113: {0: 0, 1: 0, 2: 0, 3: -0.2}
State 114: {0: 0, 1: 0, 2: 0, 3: 0}
State 214: {0: 0, 1: 0, 2: 0, 3: 0}
State 314: {0: 0, 1: 0, 2: 0, 3: 0}
State 414: {0: 0, 1: 0, 2: 0, 3: 0}
State 514: {0: 0, 1: 0, 2: 0, 3: 0}
State 614: {0: 0, 1: 0, 2: 0, 3: 0}
State 714: {0: 0, 1: 0, 2: 0, 3: 0}
State 814: {0: -0.2, 1: -0.2, 2: -0.2, 3: 0}
State 914: {0: -0.36000000000000004, 1: 0, 2: 0, 3: -0.2}
State 1014: {0: 0, 1: 0, 2: 0, 3: 0}
State 1114: {0: 0, 1: 0, 2: -0.2, 3: 0}
State 915: {0: -0.36000000000000004, 1: -0.36000000000000004, 2: -0.2, 3: -0.2}
State 815: {0: 0.0, 1: -0.236, 2: -0.2, 3: 0}
State 816: {0: -0.2, 1: -0.2, 2: -0.2, 3: -0.2}
State 817: {0: -0.2, 1: 0, 2: -0.2, 3: 0}
State 716: {0: 0, 1: -0.2, 2: -0.2, 3: 0}
State 715: {0: -0.2, 1: 0, 2: 0, 3: 0}
State 916: {0: -0.2, 1: -0.2, 2: -0.2, 3: -0.2}
State 917: {0: 0, 1: -0.2, 2: 0, 3: 0}
State 1017: {0: -0.2, 1: 0, 2: -0.2, 3: 0}
State 1016: {0: -0.2, 1: -0.488, 2: -0.2, 3: -0.2}
State 1116: {0: -0.36000000000000004, 1: -0.2, 2: -0.36000000000000004, 3: -0.36000000000000004}
State 1015: {0: -0.236, 1: -0.2, 2: 0, 3: -0.36000000000000004}
State 1117: {0: -0.2, 1: -0.2, 2: -0.36000000000000004, 3: 0}
State 1115: {0: -0.236, 1: -0.488, 2: -0.2, 3: -0.2}
