Estado	Q_RL	Q_Emp	Recompensas
(510, False)	{0: -0.05168000000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 5.539431941199231, 1: 1.4231156185979912, 2: 11.169056268836584, 3: 4.619118391054547}	False
(511, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 9.43428005297408, 1: 5.441737645255081, 2: 6.399915500409234, 3: 10.819613588256683}	True
(511, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 9.43428005297408, 1: 5.441737645255081, 2: 6.399915500409234, 3: 10.819613588256683}	False
(512, True)	{0: -0.036000000000000004, 1: -0.03960000000000001, 2: 0.10275672365139729, 3: -0.020000000000000004}	{0: 2.9478144619187328, 1: 2.121757086845309, 2: 11.47287067560895, 3: 5.35278371926626}	True
(512, False)	{0: -0.036000000000000004, 1: -0.03960000000000001, 2: 0.10275672365139729, 3: -0.020000000000000004}	{0: 2.9478144619187328, 1: 2.121757086845309, 2: 11.47287067560895, 3: 5.35278371926626}	False
(513, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.6412025152504365, 1: 0.060174013020250244, 2: 5.495854829114785, 3: 1.309375238467088}	True
(513, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.6412025152504365, 1: 0.060174013020250244, 2: 5.495854829114785, 3: 1.309375238467088}	False
(610, True)	{0: -0.05528000000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 4.157722586189387, 1: 2.2799944896351505, 2: 0.06513408718484756, 3: 2.2034025627451785}	True
(610, False)	{0: -0.05528000000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 4.157722586189387, 1: 2.2799944896351505, 2: 0.06513408718484756, 3: 2.2034025627451785}	False
(611, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 1.861776692453208, 1: 1.9683294605327406, 2: 1.4649503164873858, 3: 7.027278739225625}	True
(611, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 1.861776692453208, 1: 1.9683294605327406, 2: 1.4649503164873858, 3: 7.027278739225625}	False
(612, True)	{0: -0.036000000000000004, 1: -0.04312800000000001, 2: -0.03960000000000001, 3: -0.03960000000000001}	{0: 0.7471823957596353, 1: 2.1131289425537263, 2: 1.0791564037563814, 3: 0.6542230011802789}	True
(612, False)	{0: -0.036000000000000004, 1: -0.04312800000000001, 2: -0.03960000000000001, 3: -0.03960000000000001}	{0: 0.7471823957596353, 1: 2.1131289425537263, 2: 1.0791564037563814, 3: 0.6542230011802789}	False
(613, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 2.3048301522826473, 1: 1.138628227971731, 2: 0.029583799373043576, 3: 0.027520845447763332}	True
(613, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 2.3048301522826473, 1: 1.138628227971731, 2: 0.029583799373043576, 3: 0.027520845447763332}	False
(710, True)	{0: -0.05168000000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 2.8140895535016366, 1: 2.8626552619745267, 2: 4.2542246849899685, 3: 2.7376827115400895}	True
(710, False)	{0: -0.05168000000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 2.8140895535016366, 1: 2.8626552619745267, 2: 4.2542246849899685, 3: 2.7376827115400895}	False
(711, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.722729058713582, 1: 0.03606525469420413, 2: 2.4615760413976613, 3: 3.2270536985271625}	True
(711, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.722729058713582, 1: 0.03606525469420413, 2: 2.4615760413976613, 3: 3.2270536985271625}	False
(712, True)	{0: -0.05168000000000001, 1: -0.03960000000000001, 2: -0.03960000000000001, 3: -0.03960000000000001}	{0: 1.2673652713451045, 1: 1.8754188100337976, 2: 0.6914174657610898, 3: 0.03854954321357473}	True
(712, False)	{0: -0.05168000000000001, 1: -0.03960000000000001, 2: -0.03960000000000001, 3: -0.03960000000000001}	{0: 1.2673652713451045, 1: 1.8754188100337976, 2: 0.6914174657610898, 3: 0.03854954321357473}	False
(713, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 2.085787241223598, 1: 0.07224188267223546, 2: 0.6548500336442058, 3: 0.09987715735309423}	True
(713, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 2.085787241223598, 1: 0.07224188267223546, 2: 0.6548500336442058, 3: 0.09987715735309423}	False
(810, True)	{0: -0.07064640000000003, 1: -0.07634880000000002, 2: -0.05880800000000001, 3: -0.06163040000000001}	{0: 1.635052819238798, 1: 0.09018757412536116, 2: 2.078525104966574, 3: 3.3833645180317777}	True
(810, False)	{0: -0.07064640000000003, 1: -0.07634880000000002, 2: -0.05880800000000001, 3: -0.06163040000000001}	{0: 1.635052819238798, 1: 0.09018757412536116, 2: 2.078525104966574, 3: 3.3833645180317777}	False
(811, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.5449957398403293, 1: 2.84650189907909, 2: 1.2612400800869765, 3: 0.055197369941090695}	True
(811, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.5449957398403293, 1: 2.84650189907909, 2: 1.2612400800869765, 3: 0.055197369941090695}	False
(812, True)	{0: -0.05168000000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.03960000000000001}	{0: 1.1930554743936521, 1: 3.763743871118408, 2: 1.1678812824591787, 3: 0.02110547793591229}	True
(812, False)	{0: -0.05168000000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.03960000000000001}	{0: 1.1930554743936521, 1: 3.763743871118408, 2: 1.1678812824591787, 3: 0.02110547793591229}	False
(813, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.5366261238574397, 1: 1.775854499278212, 2: 0.8584683734226314, 3: 0.010345850056547857}	True
(813, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.5366261238574397, 1: 1.775854499278212, 2: 0.8584683734226314, 3: 0.010345850056547857}	False
(910, True)	{0: -0.07064640000000003, 1: -0.07634880000000002, 2: -0.05880800000000001, 3: -0.06098240000000002}	{0: 0.668800791216214, 1: 0.5549581177614371, 2: 0.07100555296235497, 3: 1.2691616916625486}	True
(910, False)	{0: -0.07064640000000003, 1: -0.07634880000000002, 2: -0.05880800000000001, 3: -0.06098240000000002}	{0: 0.668800791216214, 1: 0.5549581177614371, 2: 0.07100555296235497, 3: 1.2691616916625486}	False
(911, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 4.344825677702199, 1: 1.5361067090415286, 2: 1.1008391094340968, 3: 1.3551648141711863}	True
(911, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 4.344825677702199, 1: 1.5361067090415286, 2: 1.1008391094340968, 3: 1.3551648141711863}	False
(912, True)	{0: -0.05168000000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 2.2745153104763394, 1: 2.0727220422803203, 2: 4.080781084402785, 3: 3.403241782754558}	True
(912, False)	{0: -0.05168000000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 2.2745153104763394, 1: 2.0727220422803203, 2: 4.080781084402785, 3: 3.403241782754558}	False
(913, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.5819205958695383, 1: 0.027265783713677452, 2: 2.771737301287038, 3: 1.1529649444925862}	True
(913, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.5819205958695383, 1: 0.027265783713677452, 2: 2.771737301287038, 3: 1.1529649444925862}	False
(1010, True)	{0: -0.07064640000000003, 1: -0.07699680000000002, 2: -0.07763184000000001, 3: -0.05880800000000001}	{0: 0.04944420963916381, 1: 0.48300677654630486, 2: 0.5306334770325649, 3: 0.036726992776314436}	True
(1010, False)	{0: -0.07064640000000003, 1: -0.07699680000000002, 2: -0.07763184000000001, 3: -0.05880800000000001}	{0: 0.04944420963916381, 1: 0.48300677654630486, 2: 0.5306334770325649, 3: 0.036726992776314436}	False
(1011, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 1.1148446704490196, 1: 0.0342272704905977, 2: 0.5696897430556078, 3: 1.223726900832978}	True
(1011, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 1.1148446704490196, 1: 0.0342272704905977, 2: 0.5696897430556078, 3: 1.223726900832978}	False
(1012, True)	{0: -0.05168000000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 1.0844911243628397, 1: 2.226306789188711, 2: 0.6295694732726604, 3: 2.002281478401065}	True
(1012, False)	{0: -0.05168000000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 1.0844911243628397, 1: 2.226306789188711, 2: 0.6295694732726604, 3: 2.002281478401065}	False
