Estado	Q_RL	Q_Emp	Recompensas
912	{0: -0.05168000000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 2.2745153104763394, 1: 2.0727220422803203, 2: 4.080781084402785, 3: 3.403241782754558}	False
913	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.5819205958695383, 1: 0.027265783713677452, 2: 2.771737301287038, 3: 1.1529649444925862}	False
1010	{0: -0.07064640000000003, 1: -0.07699680000000002, 2: -0.07763184000000001, 3: -0.05880800000000001}	{0: 0.04944420963916381, 1: 0.48300677654630486, 2: 0.5306334770325649, 3: 0.036726992776314436}	False
1011	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 1.1148446704490196, 1: 0.0342272704905977, 2: 0.5696897430556078, 3: 1.223726900832978}	False
1012	{0: -0.05168000000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 1.0844911243628397, 1: 2.226306789188711, 2: 0.6295694732726604, 3: 2.002281478401065}	False
1013	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.5184787013433746, 1: 1.4956729664704, 2: 1.2461926005493418, 3: 0.09915475156812718}	False
1110	{0: -0.07763184000000001, 1: -0.07135200000000001, 2: -0.07238880000000002, 3: -0.07763184000000001}	{0: 0.05182663994799394, 1: 0.08672063029213783, 2: 1.0820215798067545, 3: 0.02681004085925256}	False
1111	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.001270840459294831, 1: 0.08129117815792833, 2: 0.09897435017513723, 3: 0.6128656478553391}	False
1112	{0: -0.05168000000000001, 1: -0.05816000000000002, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 1.024260699764068, 1: 0.08337522305717177, 2: 0.4860596269972879, 3: 1.756387171685919}	False
1113	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.026638489983689687, 1: 0.034422891917742504, 2: 1.0485472237880769, 3: 1.5521833455858425}	False
200	{0: -0.036000000000000004, 1: -0.03960000000000001, 2: -0.03960000000000001, 3: -0.020000000000000004}	{0: 0.07001026499135884, 1: 0.040025350427263656, 2: 0.08107106809972958, 3: 0.08932716171874906}	False
201	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 4.999905739647914, 1: 8.848229228296843, 2: 5.970313873475954, 3: 4.7438105606988605}	False
202	{0: -0.020000000000000004, 1: 0.103246091662494, 2: 0, 3: 0}	{0: 18.12508121112318, 1: 6.008271552682638, 2: 6.160880819663678, 3: 6.503056420884623}	True
203	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 33.11838500620416, 1: 25.988992834353823, 2: 28.97969452921073, 3: 26.410827364634947}	False
300	{0: -0.03960000000000001, 1: -0.03960000000000001, 2: -0.03960000000000001, 3: -0.03960000000000001}	{0: 0.09237400479304055, 1: 0.027837920231851578, 2: 0.005198200625731064, 3: 0.0023644797402810227}	False
301	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 8.561425046208765, 1: 7.970448439924401, 2: 10.03869521978519, 3: 6.710911327968736}	False
302	{0: -0.030968949120048203, 1: 0.30181271790492076, 2: 0.059535148917585205, 3: 0.10808832975398396}	{0: 9.600481618612381, 1: 6.273557171767958, 2: 5.959080791506972, 3: 3.3446018771014265}	False
303	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 18.334492318168607, 1: 13.709763423934545, 2: 17.571381064417547, 3: 29.070708409377097}	True
400	{0: -0.03960000000000001, 1: -0.03960000000000001, 2: -0.03960000000000001, 3: -0.03960000000000001}	{0: 0.0763220492712669, 1: 0.07198435155992076, 2: 0.04608009067388638, 3: 0.08037692130679479}	False
401	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 4.788488319309591, 1: 5.86066911437524, 2: 7.435861264789105, 3: 9.257220778677228}	False
402	{0: 0.10629874001102918, 1: 0.10074034450134353, 2: 0.022643416394056527, 3: 0.28746889885254895}	{0: 7.220145006234785, 1: 2.498037966606721, 2: 6.855573009831695, 3: 2.182579460565656}	False
403	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 10.396544140240966, 1: 9.244310252281567, 2: 4.892738725663153, 3: 14.899458773710586}	False
500	{0: -0.05880800000000001, 1: -0.045360000000000004, 2: -0.05880800000000001, 3: -0.03960000000000001}	{0: 0.027638704615615052, 1: 0.003609990003436847, 2: 0.09060335261285041, 3: 0.06263737779122797}	False
501	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 2.966764719488675, 1: 0.599123922755757, 2: 5.047047489008041, 3: 6.709719004779159}	False
502	{0: 0.09961051342298623, 1: -0.005307358736844938, 2: 0.09059011632788445, 3: 0.08709990210849779}	{0: 2.471244396033232, 1: 2.0482532447457595, 2: 2.361703200065783, 3: 4.487196021544343}	False
503	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 7.541706136115878, 1: 9.8422214984525, 2: 5.804906271015208, 3: 3.357743825196188}	False
