State 504: {0: 5.152989918635754, 1: 5.858911606273036, 2: 9.234817724439207, 3: 5.664536950883135}
State 604: {0: 10.761372327513556, 1: 6.5307507636491, 2: 6.95693565361063, 3: 5.603591448093551}
State 704: {0: 3.5914994087623633, 1: 1.8009280328909576, 2: 2.8759825601468987, 3: 6.930130398524958}
State 804: {0: 1.2819454595033895, 1: 0.5730534747652385, 2: 0.5906909233234665, 3: 3.4121598484856217}
State 904: {0: 1.1263491766459726, 1: 0.0014690908429382144, 2: 1.0731196772883007, 3: 1.160204313173297}
State 1004: {0: 0.03822413095283061, 1: 0.06788706211394069, 2: 0.07853077895658012, 3: 0.07634097321607945}
State 1104: {0: 0.550784594480576, 1: 0.49338389120604875, 2: 0.4778670851749658, 3: 0.03913849471156236}
State 1204: {0: 0.039803812911283515, 1: 0.06826666717730617, 2: 0.03029940761013016, 3: 0.02722714338152704}
State 5: {0: 0.04761344605323414, 1: 0.03982978678754856, 2: 0.06056083665130697, 3: 0.018255148254601738}
State 105: {0: 8.04344092802589, 1: 18.381631482168036, 2: 9.076616184972778, 3: 4.876309435727751}
State 205: {0: 16.481819584066873, 1: 17.42658797513641, 2: 27.57971121047871, 3: 12.762030464187688}
State 305: {0: 14.483272256243353, 1: 19.53414770165069, 2: 8.777014943721774, 3: 16.511142355808097}
State 405: {0: 11.553837673636107, 1: 12.808993300970757, 2: 20.55331310793291, 3: 15.474903901901076}
State 505: {0: 15.205529662410575, 1: 7.983214165436284, 2: 6.415185901399169, 3: 8.21891120271902}
State 605: {0: 12.810953342644279, 1: 6.149782538747892, 2: 7.340070100010431, 3: 7.2815778638158}
State 705: {0: 4.011858718793602, 1: 3.004125528837147, 2: 1.4853431068680316, 3: 7.313294139812414}
State 805: {0: 0.5669533647160817, 1: 0.08651012819483518, 2: 1.8873789696350078, 3: 2.282716040722596}
State 905: {0: 2.6149070104598184, 1: 0.07030773408169654, 2: 1.5812278762906995, 3: 0.0901718424216331}
State 1005: {0: 1.1597113718718588, 1: 0.47336264131187294, 2: 0.09612222520609233, 3: 0.039469878557754856}
State 1105: {0: 0.033883714885472836, 1: 0.035576501824104455, 2: 0.5136541361472404, 3: 0.5574067822251652}
State 1205: {0: 0.054612224389776566, 1: 0.05050490519778675, 2: 0.0883664479411946, 3: 0.09133441961454493}
State 6: {0: 0.07998849641273577, 1: 0.016351239028190346, 2: 0.0025068039962327427, 3: 0.07250294637418014}
State 106: {0: 18.68728989458088, 1: 7.165501418231676, 2: 7.917290644293141, 3: 5.396699954454717}
State 206: {0: 32.305234573290335, 1: 15.955269685567455, 2: 17.44957981790812, 3: 10.17201587322389}
State 306: {0: 17.474872659618708, 1: 18.78077538645801, 2: 12.59197080804626, 3: 16.728012416518467}
State 406: {0: 24.261186511876158, 1: 15.367262177428868, 2: 13.693714254083043, 3: 13.040829685672499}
State 506: {0: 14.44779110783318, 1: 10.436780885184117, 2: 11.449145205295252, 3: 16.63248213959288}
