State 821: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 822: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09528, 3: 0.09208000000000001}
State 823: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 920: {0: 0.096, 1: 0.0, 2: 0.0, 3: 0.0}
State 921: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 922: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09528, 3: 0.09208000000000001}
State 923: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1020: {0: 0.096, 1: 0.0, 2: 0.0, 3: 0.0}
State 1021: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1022: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09528, 3: 0.09208000000000001}
State 1023: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1120: {0: 0.096, 1: 0.0, 2: 0.0, 3: 0.0}
State 1121: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1122: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09528, 3: 0.09208000000000001}
State 1123: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 130: {0: 2.2736472498484703, 1: 0.0, 2: 0.0, 3: 0.0}
State 131: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 132: {0: 0.08016908352000002, 1: 0.0833502559744, 2: 0.08249429572272449, 3: 0.08078415936000001}
State 133: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 230: {0: 2.855683872693148, 1: 0.7299132950418092, 2: 0.0, 3: 0.4548950332797431}
State 231: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 232: {0: 0.08152592903685373, 1: 0.08271437967986249, 2: 0.08289056456248767, 3: 0.08035653696000002}
State 233: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 330: {0: 4.671720131837735, 1: 0.0, 2: 1.1330952271773587, 3: 2.1217619739444658}
State 331: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 332: {0: 0.08616138311648629, 1: 0.08572960000000002, 2: 0.08604388282175088, 3: 0.08651765116161984}
State 333: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 430: {0: 1.1916714824606598, 1: 1.995870458953997, 2: 3.4044583728149775, 3: 4.374713724974239}
State 431: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 432: {0: 0.08836800000000002, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09116147871136447}
State 433: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 530: {0: 0.096, 1: 0.096, 2: 0.096, 3: 3.3155469470970296}
State 531: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 532: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.096}
State 533: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 630: {0: 0.09208000000000001, 1: 0.096, 2: 0.096, 3: 0.096}
State 631: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 632: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.096}
State 633: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 730: {0: 0.09208000000000001, 1: 0.096, 2: 0.096, 3: 0.096}
State 731: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 732: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 733: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 830: {0: 0.09208000000000001, 1: 0.096, 2: 0.096, 3: 0.096}
State 831: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 832: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 833: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 930: {0: 0.09208000000000001, 1: 0.096, 2: 0.096, 3: 0.096}
State 931: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 932: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 933: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1030: {0: 0.09208000000000001, 1: 0.096, 2: 0.096, 3: 0.096}
State 1031: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1032: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 1033: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1130: {0: 0.09208000000000001, 1: 0.096, 2: 0.096, 3: 0.096}
State 1131: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1132: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 1133: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 140: {0: 0.096, 1: 2.3518503806350575, 2: 0.32559165747375485, 3: 0.6432169620563004}
State 141: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 142: {0: 0.08089868800000001, 1: 0.08134760166400001, 2: 0.08283523200000001, 3: 0.08078415936000001}
State 143: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 240: {0: 2.3734143698716355, 1: 3.4570275292555834, 2: 2.3764907111751055, 3: 2.371477148643922}
State 241: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 242: {0: 3.516721417931847, 1: 0.07834121394074642, 2: 0.07500899388929588, 3: 0.07899216}
State 243: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 340: {0: 2.391957047390474, 1: 4.1018335435687305, 2: 2.3932837734359746, 3: 2.9434516029089006}
State 341: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 342: {0: 0.08939040000000001, 1: 0.08676640000000001, 2: 0.08643066523899037, 3: 0.08393672832000001}
State 343: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 440: {0: 2.3619058689769576, 1: 1.5250539701385426, 2: 3.796065491214525, 3: 2.9033537122386623}
State 441: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 442: {0: 0.08952, 1: 0.08894400000000001, 2: 0.09208000000000001, 3: 0.0903168064}
State 443: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 540: {0: 0.09280000000000001, 1: 0.08894400000000001, 2: 2.1896097185793026, 3: 0.9257067679241832}
State 541: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 542: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.096}
State 543: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 640: {0: 0.09280000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.525784748287122}
State 641: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
