State 112: {0: 0, 1: 0, 2: 0, 3: 0}
State 212: {0: 0, 1: 0, 2: 0, 3: 0}
State 312: {0: 0, 1: 0, 2: 0, 3: 0}
State 412: {0: 0, 1: 0, 2: 0, 3: 0}
State 512: {0: 0, 1: 0, 2: 0, 3: 0}
State 612: {0: -0.5, 1: -0.5, 2: 0, 3: 0}
State 712: {0: 0.0, 1: 0, 2: -0.725, 3: -0.5}
State 812: {0: -0.5, 1: -0.75, 2: -0.5, 3: 0}
State 912: {0: 0, 1: -0.5, 2: -0.5, 3: -0.5}
State 1012: {0: -0.5, 1: -0.5, 2: 0, 3: 0}
State 1112: {0: -0.5, 1: 0, 2: 0, 3: 0}
State 1212: {0: 0, 1: 0, 2: 0, 3: 0}
State 1312: {0: 0, 1: 0, 2: 0, 3: 0}
State 1412: {0: -0.5, 1: -0.5, 2: 0, 3: 0}
State 1512: {0: -0.75, 1: -0.5, 2: -0.5, 3: -0.5}
State 113: {0: 0, 1: 0, 2: 0, 3: 0}
State 213: {0: 0, 1: 0, 2: 0, 3: 0}
State 313: {0: 0, 1: 0, 2: 0, 3: 0}
State 413: {0: 0, 1: 0, 2: 0, 3: 0}
State 513: {0: 0, 1: 0, 2: 0, 3: 0}
State 613: {0: -0.5, 1: 0, 2: 0, 3: 0}
State 713: {0: -0.5, 1: 0, 2: 0, 3: 0}
State 813: {0: 0, 1: 0, 2: -0.5, 3: 0}
State 913: {0: -0.5, 1: -0.5, 2: -0.5, 3: 0}
State 1013: {0: -0.5, 1: -0.5, 2: -0.5, 3: -0.5}
State 1113: {0: -0.75, 1: -0.5, 2: 0, 3: -0.5}
State 1213: {0: -0.5, 1: 0, 2: 0, 3: -0.5}
State 1313: {0: 0, 1: 0, 2: 0, 3: -0.5}
State 1413: {0: -0.5, 1: -0.5, 2: -0.5, 3: -0.5}
State 1513: {0: -0.975, 1: -0.5, 2: -0.975, 3: -0.5}
State 114: {0: 0, 1: 0, 2: 0, 3: 0}
State 214: {0: 0, 1: 0, 2: 0, 3: 0}
State 314: {0: 0, 1: 0, 2: 0, 3: 0}
State 414: {0: 0, 1: 0, 2: 0, 3: 0}
State 514: {0: 0, 1: 0, 2: 0, 3: 0}
State 614: {0: -0.5, 1: 0, 2: 0, 3: 0}
State 714: {0: -0.5, 1: -0.5, 2: 0, 3: 0}
State 814: {0: -0.5, 1: -0.5, 2: 0, 3: 0}
State 914: {0: -0.5, 1: -0.5, 2: -0.5, 3: 0}
State 1014: {0: -0.5, 1: -0.5, 2: -0.5, 3: -0.5}
State 1114: {0: -0.5, 1: -0.5, 2: -0.5, 3: -0.5}
State 1214: {0: -0.5, 1: -0.5, 2: 0, 3: 0}
State 1314: {0: -0.5, 1: -0.5, 2: 0, 3: 0}
State 1414: {0: -0.75, 1: -0.5, 2: -0.75, 3: 0}
State 1514: {0: -0.975, 1: -0.975, 2: -0.75, 3: -0.5}
State 115: {0: 0, 1: 0, 2: 0, 3: 0}
State 215: {0: 0, 1: 0, 2: 0, 3: 0}
State 315: {0: 0, 1: 0, 2: 0, 3: 0}
State 415: {0: 0, 1: 0, 2: 0, 3: 0}
State 515: {0: 0, 1: 0, 2: 0, 3: 0}
State 615: {0: -0.5, 1: 0, 2: 0, 3: 0}
State 715: {0: -0.725, 1: 0, 2: -0.5, 3: 0}
State 815: {0: -0.5, 1: -0.75, 2: -0.5, 3: 0}
State 915: {0: -0.725, 1: -0.5, 2: -0.5, 3: -0.5}
State 1015: {0: -0.975, 1: -0.5, 2: -0.5, 3: 0}
State 1115: {0: 0, 1: 0, 2: 0, 3: 0}
State 1215: {0: 0, 1: 0, 2: 0, 3: 0}
State 1315: {0: 0, 1: 0, 2: 0, 3: 0}
State 1415: {0: 0, 1: 0, 2: 0, 3: 0}
State 1515: {0: 0, 1: 0, 2: 0, 3: 0}
State 116: {0: 0, 1: 0, 2: 0, 3: 0}
State 216: {0: 0, 1: 0, 2: 0, 3: 0}
State 316: {0: 0, 1: 0, 2: 0, 3: 0}
State 416: {0: 0, 1: 0, 2: 0, 3: 0}
State 516: {0: 0, 1: 0, 2: 0, 3: 0}
State 616: {0: -0.5, 1: -0.75, 2: 0, 3: 0}
State 716: {0: -0.5, 1: -0.975, 2: -0.5, 3: -0.5}
State 816: {0: -0.75, 1: -0.75, 2: -0.75, 3: -0.5}
State 916: {0: -0.975, 1: -0.975, 2: -0.5, 3: -0.975}
State 1016: {0: -0.5, 1: -0.5, 2: -0.5, 3: -0.975}
State 1116: {0: 0, 1: 0, 2: 0, 3: 0}
State 1216: {0: 0, 1: 0, 2: 0, 3: 0}
State 1316: {0: 0, 1: 0, 2: 0, 3: 0}
State 1416: {0: 0, 1: 0, 2: 0, 3: 0}
State 1516: {0: 0, 1: 0, 2: 0, 3: 0}
State 117: {0: 0, 1: 0, 2: 0, 3: 0}
State 217: {0: 0, 1: 0, 2: 0, 3: 0}
State 317: {0: 0, 1: 0, 2: 0, 3: 0}
State 417: {0: 0, 1: 0, 2: 0, 3: 0}
State 517: {0: 0, 1: 0, 2: 0, 3: 0}
State 617: {0: 0, 1: 0, 2: 0, 3: 0}
State 717: {0: 0, 1: 0, 2: 0, 3: 0}
State 817: {0: 0, 1: 0, 2: 0, 3: 0}
State 917: {0: 0, 1: 0, 2: 0, 3: 0}
State 1017: {0: 0, 1: 0, 2: 0, 3: 0}
State 1117: {0: 0, 1: 0, 2: 0, 3: 0}
State 1217: {0: 0, 1: 0, 2: 0, 3: 0}
State 1317: {0: 0, 1: 0, 2: 0, 3: 0}
State 1417: {0: 0, 1: 0, 2: 0, 3: 0}
State 1517: {0: 0, 1: 0, 2: 0, 3: 0}
State 118: {0: 0, 1: 0, 2: 0, 3: 0}
State 218: {0: 0, 1: 0, 2: 0, 3: 0}
State 318: {0: 0, 1: 0, 2: 0, 3: 0}
State 418: {0: 0, 1: 0, 2: 0, 3: 0}
State 518: {0: 0, 1: 0, 2: 0, 3: 0}
State 618: {0: 0, 1: 0, 2: 0, 3: 0}
State 718: {0: 0, 1: 0, 2: 0, 3: 0}
State 818: {0: 0, 1: 0, 2: 0, 3: 0}
State 918: {0: 0, 1: 0, 2: 0, 3: 0}
State 1018: {0: 0, 1: 0, 2: 0, 3: 0}
State 1118: {0: 0, 1: 0, 2: 0, 3: 0}
State 1218: {0: 0, 1: 0, 2: 0, 3: 0}
State 1318: {0: 0, 1: 0, 2: 0, 3: 0}
State 1418: {0: 0, 1: 0, 2: 0, 3: 0}
State 1518: {0: 0, 1: 0, 2: 0, 3: 0}
State 119: {0: 0, 1: 0, 2: 0, 3: 0}
State 219: {0: 0, 1: 0, 2: 0, 3: 0}
State 319: {0: 0, 1: 0, 2: 0, 3: 0}
State 419: {0: 0, 1: 0, 2: 0, 3: 0}
State 519: {0: 0, 1: 0, 2: 0, 3: 0}
State 619: {0: 0, 1: 0, 2: 0, 3: 0}
State 719: {0: 0, 1: 0, 2: 0, 3: 0}
State 819: {0: 0, 1: 0, 2: 0, 3: 0}
State 919: {0: 0, 1: 0, 2: 0, 3: 0}
State 1019: {0: 0, 1: 0, 2: 0, 3: 0}
State 1119: {0: 0, 1: 0, 2: 0, 3: 0}
State 1219: {0: 0, 1: 0, 2: 0, 3: 0}
State 1319: {0: 0, 1: 0, 2: 0, 3: 0}
State 1419: {0: 0, 1: 0, 2: 0, 3: 0}
State 1519: {0: 0, 1: 0, 2: 0, 3: 0}
