Paso	Empowerment Máximo
1	2.321928094887362
2	3.807354922057604
3	3.807354922057604
4	4.643856189774724
5	5.392317422778761
6	5.807354922057604
7	5.882643049361842
8	6.303780748177103
9	6.303780748177103
10	6.658211482751795
11	6.741466986401147
12	6.845490050944375
13	6.845490050944375
14	6.918863237274595
15	6.918863237274595
16	6.930737337562887
17	6.930737337562887
18	6.930737337562887
19	6.930737337562887
20	6.930737337562887
21	6.930737337562887
22	6.930737337562887
23	6.930737337562887
24	6.930737337562887
25	6.930737337562887
26	6.930737337562887
27	6.930737337562887
28	6.930737337562887
29	6.930737337562887
30	6.930737337562887
31	6.930737337562887
32	6.930737337562887
33	6.930737337562887
34	6.930737337562887
35	6.930737337562887
36	6.930737337562887
37	6.930737337562887
38	6.930737337562887
39	6.930737337562887
40	6.930737337562887
41	6.930737337562887
42	6.930737337562887
43	6.930737337562887
44	6.930737337562887
45	6.930737337562887
46	6.930737337562887
47	6.930737337562887
48	6.930737337562887
49	6.930737337562887
50	6.930737337562887
51	6.930737337562887
52	6.930737337562887
53	6.930737337562887
54	6.930737337562887
55	6.930737337562887
56	6.930737337562887
57	6.930737337562887
58	6.930737337562887
59	6.930737337562887
60	6.930737337562887
61	6.930737337562887
62	6.930737337562887
63	6.930737337562887
64	6.930737337562887
65	6.930737337562887
66	6.930737337562887
67	6.930737337562887
68	6.930737337562887
69	6.930737337562887
70	6.930737337562887
71	6.930737337562887
72	6.930737337562887
73	6.930737337562887
74	6.930737337562887
75	6.930737337562887
76	6.930737337562887
77	6.930737337562887
78	6.930737337562887
79	6.930737337562887
80	6.930737337562887
81	6.930737337562887
82	6.930737337562887
83	6.930737337562887
84	6.930737337562887
85	6.930737337562887
86	6.930737337562887
87	6.930737337562887
88	6.930737337562887
89	6.930737337562887
90	6.930737337562887
91	6.930737337562887
92	6.930737337562887
93	6.930737337562887
94	6.930737337562887
95	6.930737337562887
96	6.930737337562887
97	6.930737337562887
98	6.930737337562887
99	6.930737337562887
100	6.930737337562887
101	6.930737337562887
102	6.930737337562887
103	6.930737337562887
104	6.930737337562887
105	6.930737337562887
106	6.930737337562887
107	6.930737337562887
108	6.930737337562887
109	6.930737337562887
110	6.930737337562887
111	6.930737337562887
112	6.930737337562887
113	6.930737337562887
114	6.930737337562887
115	6.930737337562887
116	6.930737337562887
117	6.930737337562887
118	6.930737337562887
119	6.930737337562887
120	6.930737337562887
121	6.930737337562887
122	6.930737337562887
123	6.930737337562887
124	6.930737337562887
125	6.930737337562887
126	6.930737337562887
127	6.930737337562887
128	6.930737337562887
129	6.930737337562887
130	6.930737337562887
131	6.930737337562887
132	6.930737337562887
133	6.930737337562887
134	6.930737337562887
135	6.930737337562887
136	6.930737337562887
137	6.930737337562887
138	6.930737337562887
139	6.930737337562887
140	6.930737337562887
141	6.930737337562887
142	6.930737337562887
143	6.930737337562887
144	6.930737337562887
145	6.930737337562887
146	6.930737337562887
147	6.930737337562887
148	6.930737337562887
149	6.930737337562887
150	6.930737337562887
151	6.930737337562887
152	6.930737337562887
153	6.930737337562887
154	6.930737337562887
155	6.930737337562887
156	6.930737337562887
157	6.930737337562887
158	6.930737337562887
159	6.930737337562887
160	6.930737337562887
161	6.930737337562887
162	6.930737337562887
163	6.930737337562887
164	6.930737337562887
165	6.930737337562887
166	6.930737337562887
167	6.930737337562887
168	6.930737337562887
169	6.930737337562887
170	6.930737337562887
171	6.930737337562887
172	6.930737337562887
173	6.930737337562887
174	6.930737337562887
175	6.930737337562887
176	6.930737337562887
177	6.930737337562887
178	6.930737337562887
179	6.930737337562887
180	6.930737337562887
181	6.930737337562887
182	6.930737337562887
183	6.930737337562887
184	6.930737337562887
185	6.930737337562887
186	6.930737337562887
187	6.930737337562887
188	6.930737337562887
189	6.930737337562887
190	6.930737337562887
191	6.930737337562887
192	6.930737337562887
193	6.930737337562887
194	6.930737337562887
195	6.930737337562887
196	6.930737337562887
197	6.930737337562887
198	6.930737337562887
199	6.930737337562887
